company_name,year_founded,industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,acquired_by,acquired_price,ipo_status,ipo_valuation,ipo_date,growth_confidence,growth_category,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors
Space Domain Awareness,2019,"Aerospace, Sensor","Orlando, Florida, United States",32826,Space Domain Awareness provides a space object tracking system.,Active,146556,,2021-11-30,Grant,,,Private,,,,Growing,Less than $1M,10-Jan,1,256000,National Science Foundation,1
AI Exosphere,2021,"Consulting, Content Creators, Information Technology, Marketing","Orlando, Florida, United States",32801,AI Exosphere provides technology and online space for entrepreneurs to increase accessibility and scalability in the online marketplace.,Active,2746751,,,,,,Private,,,,,,10-Jan,,,,
Neoware Studios,2018,"Apps, Augmented Reality, Blockchain, Coworking, Information Technology, Internet, Shopping Mall, Software, Web Development","Oviedo, Florida, United States",32765,"Neoware is a business development studio that provides turn-key business solutions specializing space, technology, events, and marketing.",Active,1926003,,,,,,Private,,,,,,10-Jan,,,,
VRMarket Data,2016,"Analytics, Information Technology","Santa Rosa Beach, Florida, United States",32459,"VRMarket Data, doing business as Key Data Dashboard, provides data and analytic tools for the vacation rental space.",Active,162386,,2018-04-30,Venture - Series Unknown,,,Private,,,,,,10-Jan,1,2000000,,
Modularity Space,2016,"Aerospace, Industrial","Daytona Beach, Florida, United States",32114,Modularity Space is a modular reusable satellite developing company.,Active,681225,,2022-05-16,Venture - Series Unknown,,,Private,,,,,$1M to $10M,11-50,3,,"Starburst Accelerator, VU Venture Partners, Nex Cubed",3
Dustoff Technologies,2016,"Artificial Intelligence (AI), Construction, IT Infrastructure, Project Management","Saint Augustine, Florida, United States",32084,"DUSTOFF Technologies offers IT solutions in health info, cyber security, and big data, focusing on federal projects.",Active,796215,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
D12 Commercial Interiors,2017,"Furniture, Manufacturing, Product Design","Athens, Georgia, United States",30606,"D12 Interiors offers turnkey interior solutions, including cabinets, furniture, countertops, and shower systems.",Active,315841,,,,,,Private,,,,,$1M to $10M,11-50,,,,
"Cyclo Technologies, Inc.",2022,Aerospace,"Roswell, Georgia, United States",30075,Space Electronics Design,Active,1712964,,,,,,Private,,,,,,10-Jan,,,,
Maptician,2018,"Facility Management, Information Technology, Software","Alpharetta, Georgia, United States",30009,Maptician provides office space and facilities management software for businesses of any size.,Active,72069,Seed,2023-12-29,Seed,,,Private,,,,Growing,$1M to $10M,10-Jan,2,3143000,"Invest Nebraska, Nebraska Angel Network, Nelnet, Bryson Koehler",4
NthLine Solutions,2015,"Cloud Data Services, Consulting, Information Technology, Robotic Process Automation (RPA)","Alpharetta, Georgia, United States",30004,"NthLine Solutions is a consulting agency that provides robotic process automation, project consultation, and cloud services.",Active,1603651,,,,,,Private,,,,,$1M to $10M,11-50,,,,
<Tuple>,2019,"Artificial Intelligence (AI), Bioinformatics, Biotechnology, Cloud Computing, Information Technology, Software","Charlotte, North Carolina, United States",28210,Technology firm providing expert consulting and research services.,Active,900875,,,,,,Private,,,,,,10-Jan,,,,
Resume Sieve,2020,"Artificial Intelligence (AI), Human Resources, Recruiting, Software","Charlotte, North Carolina, United States",28204,Resume Sieve is a developer of tools designed to disrupt traditional recruiting models while providing a space for recruiters.,Active,131771,,2021-02-22,Debt Financing,,,Private,,,,,,11-50,1,365000,,
I.F. Armor International,2019,"Commercial, Manufacturing, Security","Shelby, North Carolina, United States",28152,I.F. Armor International is a defense and space manufacturing company that offers build-to-print metal fabrication services.,Active,1614717,,,,,,Private,,,,,$10M to $50M,101-250,,,,
Laravel Wizard,2019,"Information Technology, Software","Raleigh, North Carolina, United States",27615,Laravel Wizard is a group of certified developers with one goal i.e. world-class Laravel development.,Active,1665139,,,,,,Private,,,,,,11-50,,,,
AXE,2020,"Aerospace, Air Transportation, CleanTech, GreenTech, Manufacturing, Transportation","Greensboro, North Carolina, United States",27410,Efficient Mobility Technologies,Active,3062843,,,,,,Private,,,,,,10-Jan,,,,
Dot Drives Software,2017,"Blogging Platforms, Business Development, Information Technology, Non Profit, SaaS, Software, Training","Lynchburg, Virginia, United States",24503,Dot Drives is a software develpoment company.,Active,134308,,2022-12-15,Grant,,,Private,,,,,$10M to $50M,10-Jan,1,75000,Virginia Venture Partners,1
Psionic,2016,"Aerospace, Automotive, Information Technology, Software","Hampton, Virginia, United States",23666,Psionic is a technology company that develops lidar technology for autonomous space vehicles.,Active,93953,,2021-11-29,Venture - Series Unknown,,,Private,,,,,$1M to $10M,11-50,3,2650000,,
Warehowz,2019,"Information Technology, Logistics, Warehousing","Richmond, Virginia, United States",23229,Warehowz develops a warehousing platform for storage and fulfillment services.,Active,50038,Seed,2023-09-15,Seed,,,Private,,,,Growing,$1M to $10M,10-Jan,3,4544633,,
Data Friendly Space,2015,"Analytics, Artificial Intelligence (AI), Information Technology","Williamsburg, Virginia, United States",23185,"Data Friendly Space is an information technology company that offers AI-powered technology, digital tools, and effective methodologies.",Active,559752,,,,,,Private,,,,,$1M to $10M,101-250,,,,
Caf2Code,2017,"Construction, Consulting, Enterprise Resource Planning (ERP), Information Technology, Manufacturing, Packaging Services, Plastics and Rubber Manufacturing, Project Management, Software, Technical Support","Harrisonburg, Virginia, United States",22801,"Caf2Code is an IT consultancy specializing in ERP implementation, dynamics 365 finance, technical/solution architects, and support services.",Active,615937,,,,,,Private,,,,Growing,$1M to $10M,11-50,,,,
"Traderware, Inc",2021,"Artificial Intelligence (AI), Blockchain, EdTech, FinTech, SaaS","Alexandria, Virginia, United States",22308,"We are a technology development company creating unique and powerful SaaS products in the Fintech, Edtech and AI space.",Active,548083,,,,,,Private,,,,,,51-100,,,,
Scout Space,2019,"Aerospace, Cloud Computing, Geospatial, Satellite Communication, Software, Space Travel","Reston, Virginia, United States",22303,"Scout is developing orbital products and services to enable a new era of space safety, transparency, and improved Space Domain Awareness.",Active,100340,Seed,2024-05-03,Debt Financing,,,Private,,,,Growing,$1M to $10M,11-50,13,355000,"Techstars, Leonid Capital Partners, Luminate, Air Force Research Laboratory, MassChallenge",18
Raytheon Intelligence & Space,2020,"Cyber Security, Information Technology, IT Management, Sensor, Software","Arlington, Virginia, United States",22209,"Raytheon Intelligence & Space specializes in developing advanced sensors, cyber services and software solutions.",Closed,3519570,,,,,,Private,,,,Growing,,10001+,,,,
Umbra,2015,"Aerospace, Geospatial, Image Recognition, Information Technology, Satellite Communication, Software","Arlington, Virginia, United States",22209,Cutting edge space systems—from refined mission solutions to best-in-class data,Active,9736,Early Stage Venture,2022-12-07,Series B,,,Private,,,,,$100M to $500M,101-250,6,119629967,"Crosscut Ventures, DARPA, Champion Hill Ventures, Starbridge Venture Capital, 7BC Venture Capital",18
Axta Space,2022,"Aerospace, Communications Infrastructure, Optical Communication","Arlington, Virginia, United States",22207,Axta Space delivers optical solutions for space communications.,Active,1563598,,,,,,Private,,,,,,10-Jan,,,,
Sheeva.AI,2016,"Artificial Intelligence (AI), Automotive, Electric Vehicle, Fleet Management, Parking, Retail Technology, Transportation","Alexandria, Virginia, United States",22182,Sheeva.AI has developed an in-car payments solution that introduces vehicle location-based services to monetize the driver experience.,Active,37343,Early Stage Venture,2023-01-19,Series A,,,Private,,,,Growing,$1M to $10M,11-50,11,11837000,"Techstars, Reynolds and Reynolds, Pegasus Tech Ventures, Poppe + Potthoff, Linden Capital",9
SpaceLink,2020,"Aerospace, Internet, Telecommunications","Mclean, Virginia, United States",22102,"Accelerating a new age of space commerce, security and environmental awareness.",Active,1438197,,,,,,Private,,,,,Less than $1M,11-50,,,,
InSrv,2020,"Data Center, Data Storage, Database, Information Technology","Mclean, Virginia, United States",22102,InSrv is a provider of deployment programs for hyper scalers and colocation data center providers.,Active,3186248,,,,,,Private,,,,,,10-Jan,,,,
Fairwinds Technologies,2016,"Infrastructure, Manufacturing, Wireless","Annapolis, Maryland, United States",21403,"Fairwinds Technologies is a defense and space manufacturing company that offers engineering, field service, and interactive training.",Active,714900,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Ardent Privacy,2016,"Cloud Security, Cyber Security, Data Governance, Information Technology, Privacy, SaaS, Software","Catonsville, Maryland, United States",21228,Ardent is enterprise data security startup focusing on data minimization for GDPR. Reduce your data and reduce your business risk.,Active,133289,Seed,2020-07-24,Pre-Seed,,,Private,,,,Growing,Less than $1M,11-50,1,200000,,
Homies,2015,"Apps, Information Technology, Messaging","Baltimore, Maryland, United States",21224,"A housing platform that allows customers to list rooms for free, find roommates & send messages all from the safety and security of an app.",Active,180138,Seed,2016-02-15,Seed,,,Private,,,,,Less than $1M,10-Jan,1,750000,,
Creators Label,2016,"Information Technology, Manufacturing, Retail, Software","Manchester, Maryland, United States",21102,A platform for Creators by Creators.,Active,1558689,Seed,2018-11-12,Seed,,,Private,,,,,,10-Jan,1,,,
QuoLab Technologies,2019,"Cyber Security, Information Technology, Software","Columbia, Maryland, United States",21046,"QuoLab provides a security operations platform (SOP) empowering users to track, manage, visualize and action cyber threats.",Active,1593756,Seed,2022-03-30,Seed,,,Private,,,,,$1M to $10M,11-50,1,,TEDCO,1
Kythera Space Solutions,2015,"Satellite Communication, Software","Bethesda, Maryland, United States",20814,Kythera Space Solutions is a software firm providing dynamic management systems for next-generation satellite payloads and SATCOM networks,Active,1627383,,,,,,Private,,,,,,11-50,,,,
Castellum,2019,"Information Services, Information Technology","Bethesda, Maryland, United States",20814,"Castellum is a defense-oriented technology company which is executing strategic acquisitions in the cyber security, information technology.",Active,2714613,IPO,2024-01-25,Post-IPO Equity,,,Public,,2011-07-27,,,$10M to $50M,101-250,4,10220000,Live Oak Bank,1
Aeronautics Risk Advisors,2023,"Aerospace, Air Transportation, Asset Management, Insurance, Intelligent Systems, Risk Management, Space Travel","Reston, Virginia, United States",20190,"Aeronautics Risk Advisors (ARA) helps the aerospace industry secure reliable insurance products to protect assets while in air, and space.",Active,2508672,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,1,,,
Trusted Space,2019,"Information Technology, Machine Learning, Satellite Communication, Simulation, Software, Space Travel","Leesburg, Virginia, United States",20175,"Trusted Space is a differentiated professional services company focused on providing modeling, simulation & analysis services.",Active,1482909,,,,,,Private,,,,,Less than $1M,11-50,,,,
VRTL Space,2016,"Consulting, Information Technology","Washington, District of Columbia, United States",20171,VRTL Space is a preeminent management and technology consulting firm.,Active,1418036,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Peraton,2017,"Cyber Security, Information Services, Information Technology","Herndon, Virginia, United States",20170,Fearlessly solving the world's most complex challenges to keep people safe and secure.,Active,3263821,M&A,,,Veritas Capital,,Private,,,,,$1B to $10B,10001+,,,,
HawkEye 360,2015,"Aerospace, Analytics, Wireless","Herndon, Virginia, United States",20170,HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Active,3097,Late Stage Venture,2024-04-02,Debt Financing,,,Private,,,,Growing,$1M to $10M,101-250,11,412300000,"BlackRock, Alumni Ventures, Insight Partners, Silicon Valley Bank, Seraphim Space",30
HelloGov,2016,"Artificial Intelligence (AI), Machine Learning","Ashburn, Virginia, United States",20147,"HelloGov is a full-stack AI/ML company, providing computer vision, NLP, and high quality training data for the public sector.",Active,73775,Early Stage Venture,2018-07-01,Series A,,,Private,,,,,,51-100,2,12500000,X-GOV FUND 1,1
Hilo,2019,Manufacturing,"Manassas, Virginia, United States",20109,Hilo is a defense and space manufacturing company.,Active,2510472,,,,,,Private,,,,,,11-50,,,,
Global Fishing Watch,2017,Information Technology,"Washington, District of Columbia, United States",20036,"Global Fishing Watch is the product of a technology partnership between SkyTruth, Oceana.",Active,4486,,2023-12-20,Grant,,,Private,,,,Growing,$1M to $10M,51-100,2,60300000,"The Audacious Project, Patrick J. McGovern Foundation",2
